age,overall_rating,potential,wage,international_reputation(1-5),skill_moves(1-5),release_clause_euro,club_rating,contract_end_year,national_rating,crossing,finishing,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,reactions,shot_power,stamina,long_shots,positioning,vision,penalties,composure,traits,body_type_Normal,body_type_Stocky,preferred_foot_Right
21,67,76,0.0035460992907801418,1,3,0.0087731304666493,72,21,0.0,66,43,70,58,66,65,58,73,70,61,59,73,63,49,71,49,59,1,0,0,1
18,60,82,0.0,1,2,0.004357866014384932,69,21,0.0,57,44,63,47,57,53,54,59,60,59,56,54,53,45,60,51,57,0,0,0,1
28,63,63,0.0,1,3,0.003585194735238667,69,19,0.0,58,50,67,37,74,62,42,47,61,58,61,61,51,56,61,51,63,1,0,0,1
20,51,61,0.0017730496453900709,1,2,0.0005651538498898392,67,22,0.0,50,34,53,31,45,37,39,44,43,52,54,56,32,51,48,49,41,0,1,0,1
25,63,68,0.0,1,2,0.0030906851165850577,62,23,0.0,34,64,63,54,62,56,35,59,57,48,64,53,59,60,49,55,62,0,0,1,1
20,53,64,0.0,1,2,0.0007152728412668277,57,19,0.0,22,51,44,44,43,40,20,22,50,52,50,58,45,54,53,52,50,0,0,0,1
30,74,74,0.04609929078014184,2,3,0.0047993924596113685,75,19,0.0,74,27,63,44,68,68,30,64,71,71,74,79,66,51,54,37,67,1,0,0,1
25,65,70,0.0035460992907801418,1,3,0.007007024685743553,69,19,0.0,36,66,64,49,64,41,36,56,68,55,65,62,67,58,54,64,56,1,0,0,1
25,66,69,0.005319148936170213,1,3,0.005682445350064242,65,20,0.0,62,56,65,52,70,54,42,52,66,57,63,66,58,62,54,52,49,0,0,0,1
33,65,65,0.0017730496453900709,1,2,0.0023268443663433222,64,23,0.0,58,27,74,47,54,49,55,71,63,58,62,75,63,46,66,39,54,0,1,0,1
24,66,73,0.010638297872340425,1,3,0.0061239717952906786,69,21,0.0,69,50,63,41,72,61,60,62,66,59,69,76,55,66,57,42,53,2,1,0,0
29,69,69,0.02304964539007092,2,3,0.005240918904837805,68,20,0.0,75,64,68,61,67,66,59,64,67,65,69,78,64,67,65,60,59,2,0,0,0
28,65,65,0.0,1,3,0.0034968894461933795,69,23,0.0,48,68,44,54,63,54,57,27,65,61,62,75,62,67,56,68,63,0,1,0,1
23,66,72,0.0,1,2,0.005240918904837805,65,19,0.0,39,41,63,37,51,28,29,63,62,65,43,64,38,41,53,37,59,0,1,0,1
26,77,78,0.01950354609929078,2,3,0.07765125592197344,73,22,0.0,75,75,76,59,79,77,72,72,78,75,80,72,75,73,73,66,67,4,0,0,0
27,70,71,0.005319148936170213,1,3,0.011863815583234358,66,23,0.0,65,59,69,59,73,70,67,65,70,67,68,73,69,67,66,57,68,0,1,0,1
27,71,71,0.0035460992907801418,1,3,0.0171621329259516,69,19,76.0,60,63,70,65,68,64,49,71,70,77,77,93,65,67,67,66,74,0,1,0,1
20,66,80,0.0035460992907801418,1,3,0.016279080035498727,76,21,0.0,64,55,71,48,65,73,74,72,70,54,60,64,65,58,67,61,59,1,0,0,1
21,69,79,0.0,1,3,0.018045185816404474,71,22,0.0,43,66,61,54,73,41,26,51,72,63,73,65,57,67,58,63,60,2,1,0,1
27,70,71,0.0035460992907801418,1,3,0.013188394918913668,67,23,0.0,42,78,62,58,66,42,34,31,69,68,71,68,62,72,53,72,61,2,1,0,1
24,78,83,0.09574468085106383,1,3,0.12224542688984356,76,23,0.0,29,78,70,76,66,39,52,43,75,77,82,64,70,82,68,70,76,2,0,1,1
28,70,70,0.0070921985815602835,1,3,0.008331604021422863,69,23,0.0,58,54,71,57,59,33,40,73,65,69,68,82,69,65,70,39,59,0,1,0,1
19,59,75,0.0017730496453900709,1,2,0.002706557109238058,71,21,0.0,32,58,47,39,58,35,25,37,56,54,61,57,53,53,49,52,45,0,1,0,1
26,64,67,0.005319148936170213,1,3,0.004357866014384932,63,19,0.0,62,54,65,34,63,61,66,63,63,59,58,69,52,54,66,62,64,0,0,0,1
22,74,83,0.051418439716312055,1,2,0.06970377990789758,75,20,0.0,64,64,76,68,72,74,73,77,75,72,84,62,78,63,69,52,74,4,0,0,0
18,49,69,0.0,1,1,0.0005165859409149311,69,21,0.0,13,7,22,9,11,15,15,22,14,44,19,18,8,6,30,12,36,0,1,0,1
22,61,72,0.0035460992907801418,1,3,0.0032540499013188396,73,21,0.0,59,34,57,30,60,37,35,43,58,59,43,66,27,51,44,36,49,0,0,0,1
27,62,62,0.0,1,2,0.0015983257317197014,65,23,0.0,45,36,65,60,59,51,55,63,59,58,60,87,62,22,70,59,63,0,1,0,1
26,66,69,0.0035460992907801418,1,2,0.006565498240517116,66,20,0.0,64,69,57,55,67,42,53,52,65,57,71,64,59,64,62,65,49,0,1,0,1
31,62,62,0.0017730496453900709,1,2,0.0010464176751866553,66,20,0.0,58,52,61,49,59,57,53,58,60,62,59,68,51,58,58,49,61,0,0,0,1
21,65,74,0.0035460992907801418,1,3,0.007007024685743553,66,21,0.0,50,48,69,40,65,45,61,66,68,56,52,71,53,58,66,43,63,1,0,0,1
24,65,71,0.008865248226950355,1,2,0.005240918904837805,67,22,0.0,31,20,63,25,26,23,27,55,55,61,34,61,22,27,29,35,58,0,1,0,1
28,65,65,0.0017730496453900709,1,2,0.0024283954487454027,66,20,0.0,60,23,64,43,63,49,27,57,62,60,50,81,47,60,56,40,61,0,0,0,1
27,75,76,0.0797872340425532,1,3,0.0047993924596113685,75,19,0.0,34,75,64,76,70,46,36,57,74,71,75,71,72,78,59,77,70,2,1,0,1
18,48,60,0.0,1,1,0.00028699218939718394,60,19,0.0,12,9,28,7,5,14,12,29,10,31,21,30,9,6,39,18,31,0,0,0,1
27,80,81,0.0673758865248227,2,4,0.1633073862959022,79,22,0.0,72,69,80,63,77,78,69,80,80,78,77,73,79,77,82,65,73,2,0,0,1
28,70,71,0.010638297872340425,1,1,0.011422289138007921,73,19,0.0,13,12,29,11,12,12,12,25,21,64,21,29,12,11,43,23,58,0,0,0,1
25,62,67,0.0017730496453900709,1,1,0.002790447133831081,62,20,0.0,12,14,35,15,19,19,20,32,18,67,23,35,18,10,59,10,57,1,1,0,1
35,70,70,0.01773049645390071,1,2,0.004357866014384932,68,21,0.0,56,41,69,46,67,74,75,65,74,71,72,77,76,61,67,74,69,1,0,1,1
24,59,64,0.0,1,2,0.0012362740466340231,57,19,0.0,51,23,53,26,50,45,30,49,52,50,34,56,28,38,35,35,55,0,1,0,1
30,68,68,0.008865248226950355,1,2,0.00426514546088738,65,20,0.0,65,42,65,62,58,70,66,61,65,63,78,82,70,52,51,54,70,1,1,0,0
19,63,78,0.0,1,3,0.0047993924596113685,68,19,0.0,55,46,68,37,63,42,37,55,65,52,62,74,57,59,63,40,62,0,0,0,1
34,70,70,0.012411347517730497,1,2,0.0047993924596113685,70,23,0.0,48,33,59,45,45,51,47,46,56,60,46,68,37,23,35,40,54,1,1,0,1
30,68,68,0.0017730496453900709,1,2,0.004357866014384932,68,21,0.0,67,41,64,37,57,59,32,59,59,63,57,74,42,57,54,44,62,0,1,0,0
23,64,72,0.0035460992907801418,1,2,0.0042607301964351155,69,20,0.0,63,28,58,36,62,43,33,33,57,63,34,70,26,59,45,44,57,0,1,0,0
21,57,70,0.0,1,1,0.0013378251290361036,66,21,0.0,11,8,29,7,10,13,10,24,19,48,22,16,8,6,30,17,31,0,1,0,1
20,57,71,0.0035460992907801418,1,3,0.002251784870654828,67,22,0.0,54,49,54,34,58,41,34,52,57,49,48,38,37,54,50,35,39,0,0,0,1
26,82,84,0.19326241134751773,2,2,0.1911235523451677,83,22,85.0,68,32,75,34,60,35,56,72,69,82,72,60,44,39,57,40,72,0,0,0,1
21,61,73,0.005319148936170213,1,2,0.003620516850856782,68,21,0.0,33,63,47,52,59,50,33,36,58,53,57,58,56,60,50,59,49,0,0,0,0
26,65,68,0.0017730496453900709,1,2,0.005240918904837805,69,20,0.0,69,44,64,43,70,45,33,59,64,58,48,66,40,50,39,36,49,0,0,0,0
22,58,65,0.0017730496453900709,1,3,0.0047993924596113685,64,19,0.0,45,58,52,49,62,51,33,39,59,52,56,72,52,57,52,60,50,0,0,0,1
20,58,70,0.0,1,1,0.001258350368895345,68,19,0.0,11,6,16,8,10,15,10,22,19,47,20,20,8,10,29,12,36,0,1,0,1
22,68,77,0.0070921985815602835,1,3,0.0047993924596113685,67,19,0.0,53,52,72,63,70,72,46,68,71,68,74,71,61,68,68,57,66,0,1,0,1
20,59,69,0.0,1,2,0.0014791135915085635,67,23,0.0,54,48,60,45,58,59,53,58,62,60,52,65,53,58,59,43,56,0,0,0,1
27,73,73,0.03368794326241135,1,1,0.023343503159121714,74,21,0.0,19,11,14,15,21,20,12,16,21,70,19,31,14,12,67,13,62,0,1,0,1
27,63,65,0.0,1,2,0.002136987994895954,64,19,0.0,39,33,52,23,32,29,18,49,48,58,57,63,30,35,46,27,60,2,1,0,1
25,68,73,0.008865248226950355,1,2,0.0074485511309699895,68,19,0.0,30,38,60,25,44,23,30,53,51,67,43,65,26,37,49,34,62,0,0,0,1
26,70,71,0.01950354609929078,1,2,0.014071447809366542,74,20,0.0,67,44,66,50,59,46,27,53,64,67,55,67,43,46,45,60,60,0,0,0,1
41,73,73,0.008865248226950355,1,1,0.0016733852274081957,68,19,0.0,12,19,23,9,14,12,21,24,20,69,25,19,10,7,39,72,44,4,1,0,1
21,74,82,0.012411347517730497,1,3,0.052484248544066546,72,21,0.0,32,26,71,29,66,32,30,72,69,69,40,68,24,56,64,42,67,0,1,0,0
27,65,65,0.0070921985815602835,1,2,0.0034218299505048857,63,19,0.0,62,40,61,31,65,54,62,49,62,55,59,82,42,52,58,47,63,0,0,0,0
23,59,69,0.0,1,2,0.0018367500121419772,62,20,0.0,29,23,45,21,37,29,28,46,44,46,35,66,23,30,42,29,54,0,1,0,0
25,63,66,0.0017730496453900709,1,2,0.0026359128780018277,62,19,0.0,53,37,57,43,50,38,40,59,53,57,57,61,48,50,46,45,57,0,1,0,1
31,62,62,0.0,1,2,0.0012141977243727013,65,23,0.0,22,19,29,24,23,29,26,27,39,54,38,51,25,45,34,25,55,0,1,0,1
23,62,71,0.0,1,2,0.002503454944433897,63,21,0.0,29,25,42,30,43,28,31,36,44,54,35,70,23,24,30,30,56,0,1,0,1
26,73,74,0.07624113475177305,1,3,0.03658929651591482,74,19,0.0,69,64,67,49,78,61,52,61,74,66,63,56,63,69,70,53,62,3,0,0,1
19,55,67,0.0017730496453900709,1,2,0.0012009519310159083,78,19,0.0,51,49,52,56,60,57,47,50,53,44,55,49,44,44,58,42,56,0,1,0,1
22,56,67,0.0,1,2,0.0011479687575887357,62,20,0.0,30,24,35,23,28,23,22,27,36,52,36,63,24,24,27,33,47,0,1,0,1
33,68,68,0.005319148936170213,1,3,0.003368846777077713,66,19,0.0,50,68,58,71,65,52,37,47,67,58,65,71,53,73,51,69,60,2,1,0,1
28,63,63,0.0,1,2,0.002013360590232552,63,21,0.0,65,58,63,55,65,67,57,61,62,62,68,81,65,66,61,48,64,3,0,0,1
32,73,73,0.010638297872340425,1,3,0.016720606480725164,71,21,0.0,65,46,78,66,66,68,68,74,73,68,76,85,68,55,64,64,72,0,1,0,1
30,67,67,0.0017730496453900709,1,2,0.003117176703298644,64,21,0.0,65,56,65,59,62,64,66,59,64,62,71,84,58,64,63,58,66,2,1,0,1
24,64,67,0.0017730496453900709,1,2,0.0037706358422337706,63,19,0.0,60,35,57,35,58,45,30,54,59,58,50,81,34,51,53,50,54,0,1,0,1
22,67,76,0.008865248226950355,1,3,0.0047993924596113685,68,20,0.0,63,57,63,58,66,52,48,54,67,63,62,67,63,55,56,63,54,0,1,0,1
27,63,66,0.0017730496453900709,1,2,0.002962642447469391,65,19,0.0,35,15,49,18,38,31,24,43,45,59,35,74,22,15,44,37,55,0,1,0,0
33,75,75,0.015957446808510637,2,1,0.023785029604348154,75,20,0.0,13,13,53,11,25,16,13,33,39,71,24,35,13,19,66,30,64,2,1,0,1
17,58,76,0.0017730496453900709,1,3,0.002839015042805989,73,21,0.0,52,51,61,42,56,44,50,63,58,55,59,47,44,51,58,61,49,0,1,0,0
26,66,69,0.0017730496453900709,1,2,0.005240918904837805,64,20,0.0,25,34,53,25,44,25,25,44,52,51,34,71,25,29,29,38,46,2,1,0,1
28,69,72,0.015957446808510637,1,1,0.006565498240517116,73,20,0.0,8,20,12,13,13,14,13,11,23,73,15,33,16,15,26,14,58,2,1,0,1
22,54,62,0.0017730496453900709,1,2,0.0009801887084026897,62,22,0.0,30,57,52,37,45,36,32,27,45,53,50,52,59,53,44,59,46,0,0,0,1
21,60,74,0.0,1,2,0.0038677716601835865,65,21,0.0,36,54,54,34,60,34,30,55,58,57,47,73,54,58,57,40,42,0,0,1,1
29,71,71,0.010638297872340425,1,3,0.014071447809366542,68,20,0.0,65,66,68,56,66,61,58,56,66,72,72,78,65,66,68,59,64,3,1,0,1
